id,state,name,type,availability,usage,total,income,white,black,native,asian,hawaiian,another,multiracial,latino
01001,AL,Autauga County,metro,0.81,0.28,55036,55317,41509,10419,169,516,12,43,901,1467
01003,AL,Baldwin County,metro,0.88,0.3,203360,52562,168951,19238,1528,1395,0,318,2901,9029
01005,AL,Barbour County,micro,0.59,0.18,26201,33368,11985,12528,46,152,0,176,210,1104
01007,AL,Bibb County,micro,0.29,0.07,22580,43404,16849,4959,82,0,0,0,159,531
01009,AL,Blount County,metro,0.69,0.09,57667,47412,50381,879,193,84,0,126,807,5197
01011,AL,Bullock County,micro,0.06,0.05,10478,29655,2264,7925,110,73,0,2,69,35
01013,AL,Butler County,micro,0.78,0.11,20126,36326,10515,8998,13,224,0,14,298,64
01015,AL,Calhoun County,metro,0.93,0.32,115527,43686,84006,23553,213,1149,7,48,2430,4121
01017,AL,Chambers County,micro,0.82,0.34,33895,37342,19045,13335,95,339,0,17,334,730
01019,AL,Cherokee County,micro,0.99,0.1,25855,40041,23731,1287,125,33,0,0,270,409
01021,AL,Chilton County,micro,0.66,0.05,43805,43501,35207,4154,175,187,0,39,672,3371
01023,AL,Choctaw County,micro,0.23,0.02,13188,32122,7420,5553,4,8,0,2,130,71
01025,AL,Clarke County,micro,0.63,0.05,24625,33827,13057,11246,14,127,22,0,101,58
01027,AL,Clay County,micro,0.4,0.13,13407,37287,10753,1972,115,6,0,23,121,417
01029,AL,Cleburne County,micro,0.13,0.05,14939,37396,13842,424,43,81,0,8,185,356
01031,AL,Coffee County,metro,0.9,0.39,51073,49821,36261,8755,528,659,0,6,1462,3402
01033,AL,Colbert County,metro,0.8,0.26,54435,45477,42877,8676,404,246,19,31,869,1313
01035,AL,Conecuh County,micro,0.4,0.05,12649,30434,6362,5855,21,4,0,2,174,231
01037,AL,Coosa County,micro,0.76,0.09,10955,34792,7150,3640,8,0,0,0,141,16
01039,AL,Covington County,micro,0.84,0.2,37519,39467,31320,4879,124,154,8,0,448,586
01041,AL,Crenshaw County,micro,0.75,0.1,13866,38937,9872,3209,108,194,0,2,228,253
01043,AL,Cullman County,metro,0.77,0.27,81703,40997,75434,900,350,528,0,63,962,3466
01045,AL,Dale County,micro,0.93,0.27,49393,44711,34306,9485,241,448,9,189,1721,2994
01047,AL,Dallas County,micro,0.76,0.19,40755,30065,11306,28603,16,183,6,0,232,409
01049,AL,DeKalb County,metro,0.98,0.3,71194,38842,57507,1009,876,208,83,8,1325,10178
01051,AL,Elmore County,metro,0.92,0.37,80989,54981,59460,17180,232,461,0,203,1137,2316
01053,AL,Escambia County,micro,0.74,0.14,37621,35026,22661,12107,1368,149,54,46,427,809
01055,AL,Etowah County,metro,0.96,0.32,103132,42064,80750,15847,503,706,71,86,1375,3794
01057,AL,Fayette County,micro,0.38,0.06,16657,36541,14163,1917,0,78,0,0,222,277
01059,AL,Franklin County,micro,0.64,0.12,31507,39501,24474,1471,52,117,32,14,201,5146
01061,AL,Geneva County,micro,0.54,0.07,26572,39293,22318,2440,162,106,0,0,542,1004
01063,AL,Greene County,neither,0,0.02,8533,20954,1459,6851,54,0,0,0,68,101
01065,AL,Hale County,micro,0.54,0.09,14995,34679,5925,8795,25,26,0,21,7,196
01067,AL,Henry County,micro,0.59,0.07,17110,45569,11757,4762,5,0,0,0,151,435
01069,AL,Houston County,metro,0.87,0.39,104108,42803,69963,27576,322,874,16,95,1896,3366
01071,AL,Jackson County,metro,0.83,0.27,52326,39281,46738,1699,516,238,53,129,1460,1493
